


"(0.032555580139160156, -0.14, -0.26, 9.52, 28.408306277716253)
","(0.06164908409118652, None, None, None, 28.37661492069463)
","(0.0952455997467041, -0.15, -0.3, 9.56, 28.51029718265658)
","(0.12790513038635254, -0.14, -0.27, 9.55, 28.505704355712737)
","(0.16009259223937988, -0.15, -0.28, 9.52, 28.45453304825068)
","(0.19304203987121582, -0.14, -0.3, 9.56, 28.427487971296117)
","(0.22655653953552246, -0.13, -0.29, 9.53, 28.495619959320788)
"
"(0.25903797149658203, -0.14, -0.31, 9.53, 28.540806596830784)
","(0.2915966510772705, -0.17, -0.29, 9.51, 28.726323550395822)
","(0.32503724098205566, -0.15, -0.28, 9.55, 28.841511795919082)
","(0.35808277130126953, -0.13, -0.29, 9.5, 28.46683996875662)
","(0.3902921676635742, -0.15, -0.29, 9.57, 28.606442350207054)
","(0.42307066917419434, -0.15, -0.3, 9.53, 28.512416118372865)
","(0.456679105758667, -0.18, -0.28, 9.55, 28.55835514820019)
","(0.489147424697876, -0.15, -0.29, 9.56, 28.53467046658779)
","(0.5213401317596436, -0.14, -0.27, 9.540000000000001, 28.790921842201335)
","(0.5543224811553955, -0.14, -0.29, 9.52, 28.720937216117036)
","(0.5865640640258789, -0.15, -0.29, 9.55, 28.57990280962509)
","(0.6194367408752441, -0.15, -0.28, 9.53, 28.76723851245794)
","(0.6516470909118652, -0.15, -0.25, 9.540000000000001, 28.65024224027184)
","(0.683652400970459, -0.17, -0.27, 9.53, 28.836869531259804)
","(0.7168071269989014, -0.16, -0.28, 9.53, 28.719518865835223)
","(0.7499196529388428, -0.13, -0.31, 9.58, 28.672508159078184)
"
"(0.7821640968322754, -0.13, -0.3, 9.540000000000001, 28.509209196475933)
","(0.8146536350250244, -0.13, -0.28, 9.53, 28.765822969845786)
","(0.8480880260467529, -0.15, -0.27, 9.57, 28.508501759206712)
","(0.8811564445495605, -0.15, -0.27, 9.52, 28.6714501088088)
","(0.9131631851196289, -0.12, -0.29, 9.53, 28.625497673234936)
","(0.9452624320983887, -0.15, -0.29, 9.53, 28.718108096838016)
","(0.9786510467529297, -0.15, -0.27, 9.52, 28.811424682663564)
","(1.0116596221923828, -0.14, -0.27, 9.52, 28.647769341200966)
","(1.043776035308838, -0.15, -0.3, 9.55, 28.78844709934225)
","(1.0767796039581299, -0.14, -0.29, 9.540000000000001, 28.97473066422353)
","(1.1103200912475586, -0.14, -0.28, 9.55, 28.834753956149438)
","(1.142838716506958, -0.14, -0.32, 9.57, 28.554453721967317)
","(1.174955129623413, -0.15, -0.28, 9.53, 28.69407630780834)
","(1.2079236507415771, -0.15, -0.28, 9.55, 28.60111142995957)
","(1.2407581806182861, -0.15, -0.27, 9.5, 28.53042152558834)
"
"(1.2734465599060059, -0.14, -0.28, 9.53, 28.928071558269902)
","(1.3056888580322266, -0.15, -0.28, 9.540000000000001, 28.764415008547758)
","(1.3380706310272217, -0.14, -0.29, 9.57, 28.647769341200966)
","(1.3716602325439453, -0.13, -0.27, 9.5, 28.764064202800814)
","(1.4043264389038086, -0.14, -0.3, 9.56, 28.7170549953149)
","(1.4363369941711426, -0.14, -0.3, 9.57, 28.78739360276277)
","(1.469254493713379, -0.14, -0.28, 9.53, 28.670046008718177)
","(1.5027658939361572, -0.15, -0.28, 9.56, 28.50674145792043)
","(1.5353405475616455, -0.14, -0.28, 9.540000000000001, 28.576028698197227)
","(1.5675060749053955, -0.14, -0.28, 9.51, 28.693025707118434)
","(1.6007795333862305, -0.14, -0.27, 9.57, 28.740384407692773)
","(1.6343960762023926, -0.14, -0.29, 9.540000000000001, 28.64636668023019)
","(1.666884422302246, -0.17, -0.3, 9.52, 28.693025707118434)
","(1.6994519233703613, -0.13, -0.3, 9.56, 28.88071171076297)
","(1.7325825691223145, -0.14, -0.28, 9.51, 28.69407630780834)
","(1.7658030986785889, -0.13, -0.28, 9.540000000000001, 28.552349836319454)
"
"(1.7965714931488037, -0.15, -0.29, 9.52, 28.716355296782215)
","(1.828930139541626, -0.15, -0.27, 9.52, 28.482711407783167)
","(1.86181640625, -0.14, -0.26, 9.540000000000001, 28.599358147832685)
","(1.8941929340362549, -0.15, -0.28, 9.55, 28.74003443556346)
","(1.9270045757293701, -0.15, -0.28, 9.51, 28.599358147832685)
","(1.9594550132751465, -0.17, -0.3, 9.55, 28.81037294973454)
","(1.9917185306549072, -0.16, -0.31, 9.540000000000001, 28.506040654164565)
","(2.025723934173584, -0.15, -0.25, 9.55, 28.528671270987292)
","(2.05845046043396, -0.18, -0.3, 9.540000000000001, 28.739684937270578)
","(2.090754270553589, -0.16, -0.29, 9.540000000000001, 28.76266571816266)
","(2.1236166954040527, -0.15, -0.25, 9.52, 28.83335304945323)
","(2.1572649478912354, -0.15, -0.27, 9.53, 28.62268764829273)
","(2.190126419067383, -0.13, -0.28, 9.56, 28.552349836319454)
","(2.2220849990844727, -0.15, -0.28, 9.52, 28.786693640878852)
","(2.255199670791626, -0.14, -0.28, 9.57, 28.36501623324733)
"
