
"0.0402374267578125 -0.14 -0.28 9.51 36.373291454063065
","0.07129049301147461 -0.16 -0.29 9.53 36.436773459799966
","0.10209846496582031 -0.14 -0.28 9.53 36.31304435685512
","0.13257145881652832 -0.16 -0.29 9.58 36.49554555413333
","0.16288423538208008 -0.13 -0.28 9.51 36.30558380172118
","0.19301128387451172 -0.14 -0.28 9.53 36.41977554866026
","0.22347426414489746 -0.15 -0.31 9.52 36.323266690405966
","0.2536430358886719 -0.15 -0.26 9.540000000000001 36.74351466738636
","0.2838757038116455 -0.17 -0.27 9.53 36.99850778281877
","0.31414365768432617 -0.16 -0.29 9.52 36.55306035164065
","0.344287633895874 -0.14 -0.29 9.540000000000001 36.855691837600425
","0.37456655502319336 -0.15 -0.26 9.53 36.831741985095476
","0.4045827388763428 -0.15 -0.31 9.53 36.574297255723394
","0.4348623752593994 -0.15 -0.29 9.57 36.573698193719
","0.46500325202941895 -0.14 -0.28 9.540000000000001 36.50215851980324
","0.49527716636657715 -0.16 -0.28 9.55 36.66620337788294
","0.5256242752075195 -0.15 -0.28 9.55 36.923058186449545
","0.5557591915130615 -0.14 -0.3 9.51 36.64196350511056
","0.5858428478240967 -0.17 -0.28 9.56 36.75930793031218
","0.6160719394683838 -0.15 -0.28 9.52 36.61772726515472
","0.6462347507476807 -0.16 -0.3 9.53 36.82788599456509
","0.6766307353973389 -0.16 -0.27 9.540000000000001 36.7814776964234
","0.7067165374755859 -0.16 -0.29 9.53 36.7114249766366
","0.7367675304412842 -0.15 -0.3 9.52 36.82759269907823
","0.7670104503631592 -0.16 -0.29 9.52 36.710836768873435
","0.7972843647003174 -0.15 -0.28 9.56 36.6174329413112
","0.8275914192199707 -0.16 -0.31 9.55 36.68689919595597
","0.8576512336730957 -0.14 -0.3 9.55 36.82759269907823
","0.8877441883087158 -0.15 -0.29 9.55 36.59320164236874
","0.9179770946502686 -0.15 -0.3 9.540000000000001 36.45309567751921
","0.9482100009918213 -0.14 -0.3 9.540000000000001 36.77972081982471
","0.9784398078918457 -0.14 -0.3 9.57 36.920122689618815
","1.0085127353668213 -0.15 -0.29 9.540000000000001 36.8734190717679
","1.0387156009674072 -0.17 -0.29 9.56 36.733017584550296
","1.0689404010772705 -0.12 -0.26 9.53 36.8734190717679
","1.0990574359893799 -0.13 -0.29 9.56 36.91983174787787
","1.1293115615844727 -0.15 -0.31 9.52 36.475276938171895
","1.159205436706543 -0.13 -0.29 9.55 36.66267138904908
","1.1892821788787842 -0.17 -0.27 9.53 36.68660663738623
","1.2197041511535645 -0.15 -0.28 9.540000000000001 36.73272620283138
","1.250162124633789 -0.15 -0.29 9.55 36.5920343214423
","1.2803540229797363 -0.15 -0.28 9.540000000000001 36.56839198383633
","1.3105196952819824 -0.14 -0.29 9.56 36.639028521680935
","1.3404338359832764 -0.17 -0.3 9.540000000000001 36.66208936249392
","1.3706238269805908 -0.17 -0.29 9.53 36.47469498000267
","1.4007515907287598 -0.14 -0.27 9.58 36.73185490265598
","1.4311835765838623 -0.13 -0.31 9.55 36.68486124333122
","1.4613664150238037 -0.13 -0.33 9.53 36.68486124333122
","1.5012850761413574 -0.17 -0.24 9.56 36.66238013869095
","1.541250467300415 -0.15 -0.27 9.52 36.523441789203154
","1.5786902904510498 -0.14 -0.32 9.53 36.71290379389327
","1.6099209785461426 -0.15 -0.3 9.53 36.45575605770314
","1.640320062637329 -0.15 -0.23 9.55 36.61890930211518
","1.6715388298034668 -0.16 -0.27 9.52 36.64196350511056
","1.7024438381195068 -0.17 -0.33 9.53 36.66531397950699
","1.733090877532959 -0.13 -0.29 9.57 36.663841132087676
","1.7633185386657715 -0.15 -0.26 9.540000000000001 36.61626038752848
","1.7955405712127686 -0.16 -0.3 9.55 36.850651330836975
","1.8250913619995117 -0.15 -0.31 9.53 36.75666091834173
","1.8547523021697998 -0.13 -0.27 9.53 36.77972081982471
","1.8845090866088867 -0.16 -0.28 9.57 36.709083525489724
","1.914433240890503 -0.16 -0.3 9.55 36.54446001772347
","1.944580078125 -0.17 -0.32 9.56 36.848326744479515
","1.9746160507202148 -0.13 -0.3 9.51 36.66150923258809
"
"2.008129835128784 -0.15 -0.26 9.55 36.77826979556293
","2.03741192817688 -0.15 -0.29 9.55 36.84948524430549
","2.0668365955352783 -0.16 -0.28 9.51 36.778848782771554
","2.0968616008758545 -0.16 -0.33 9.57 36.474114918443405
","2.1265034675598145 -0.14 -0.28 9.52 36.80104519894432
","2.156280279159546 -0.15 -0.28 9.53 36.63729029131957
","2.186465263366699 -0.13 -0.3 9.540000000000001 36.49775642974652
","2.2176690101623535 -0.12 -0.27 9.52 36.68457200388918
","2.2482752799987793 -0.14 -0.27 9.58 36.77855905208423
","2.278183937072754 -0.14 -0.28 9.5 36.84890504605801
","2.307814836502075 -0.15 -0.31 9.52 36.70763552882264
","2.3375768661499023 -0.15 -0.28 9.540000000000001 36.68428323861316
","2.3674347400665283 -0.16 -0.26 9.52 36.80075747920261
","2.399479627609253 -0.14 -0.29 9.540000000000001 36.68370713054443
","2.4309334754943848 -0.14 -0.31 9.55 36.66121987887436
","2.460101366043091 -0.14 -0.28 9.55 36.77798101320765
","2.4897825717926025 -0.17 -0.26 9.52 36.68428323861316
"
"2.5222301483154297 -0.15 -0.29 9.52 36.73098786996
","2.551467180252075 -0.14 -0.28 9.56 36.80162206094057
","2.580667018890381 -0.16 -0.29 9.53 36.91809605504161
","2.611233949661255 -0.15 -0.29 9.540000000000001 36.77683062546147
","2.6428589820861816 -0.16 -0.28 9.53 36.70763552882264
","2.6742208003997803 -0.14 -0.29 9.52 36.66121987887436
","2.706249713897705 -0.15 -0.3 9.540000000000001 36.5908745870492
","2.7376174926757812 -0.14 -0.29 9.540000000000001 36.310363401859306
","2.768444299697876 -0.14 -0.3 9.53 36.8249743772461
","2.7999372482299805 -0.15 -0.29 9.540000000000001 36.80162206094057
","2.8315839767456055 -0.16 -0.3 9.55 36.82555290736797
","2.866560697555542 -0.14 -0.28 9.540000000000001 36.73127640669264
","2.901996612548828 -0.15 -0.28 9.58 36.52168875107068
","2.9364781379699707 -0.14 -0.29 9.55 36.75636917672356
","2.9712419509887695 -0.16 -0.27 9.540000000000001 36.70966604329508
","3.005095958709717 -0.16 -0.28 9.52 36.68719222870157
"
"3.0418355464935303 -0.17 -0.32 9.53 36.73448160561059
","3.077688217163086 -0.15 -0.28 9.540000000000001 36.64107803140389
","3.11274790763855 -0.13 -0.28 9.55 36.66442884857112
","3.146530866622925 -0.16 -0.31 9.540000000000001 36.38274981272213
","3.18166446685791 -0.12 -0.26 9.53 36.52373562177187
","3.2154793739318848 -0.15 -0.26 9.51 36.73566135740291
","3.2470502853393555 -0.14 -0.3 9.56 36.429744861606366
","3.2831947803497314 -0.15 -0.28 9.52 36.63990403802909
","3.3186395168304443 -0.15 -0.29 9.540000000000001 36.477034192373836
","3.353647232055664 -0.15 -0.29 9.56 36.66413475324639
","3.387282133102417 -0.16 -0.29 9.53 36.73477583231087
","3.422423839569092 -0.14 -0.28 9.53 36.500974197728745
","3.454643726348877 -0.16 -0.27 9.540000000000001 36.66442884857112
","3.490459442138672 -0.15 -0.29 9.55 36.61772726515472
"
"3.5273451805114746 -0.15 -0.3 9.540000000000001 36.68748573559843
","3.5626935958862305 -0.17 -0.29 9.57 36.969759722701205
","3.5947067737579346 -0.14 -0.29 9.56 36.758421325512565
","3.6252872943878174 -0.14 -0.28 9.51 36.61713909162879
","3.655393600463867 -0.15 -0.29 9.55 36.73360177048128
","3.6868972778320312 -0.15 -0.28 9.540000000000001 36.61596843448555
","3.7173049449920654 -0.16 -0.28 9.56 36.709083525489724
","3.7477450370788574 -0.12 -0.29 9.57 36.68544114469859
","3.7776780128479004 -0.13 -0.3 9.5 36.5920343214423
","3.8074779510498047 -0.13 -0.28 9.55 36.66064259394497
","3.837855815887451 -0.16 -0.29 9.53 36.84775033957986
","3.868380546569824 -0.15 -0.27 9.57 36.47353675350887
","3.898829460144043 -0.15 -0.29 9.53 36.84775033957986
","3.928497552871704 -0.14 -0.29 9.53 36.73069980738846
","3.958169460296631 -0.16 -0.28 9.55 36.893595318528995
","3.9878804683685303 -0.14 -0.27 9.55 36.542443818748765
","4.0177412033081055 -0.17 -0.28 9.52 36.65949371401938
"
"4.047854423522949 -0.13 -0.3 9.55 36.96365474554743
","4.078920125961304 -0.15 -0.3 9.51 36.66035466271946
","4.109330892562866 -0.16 -0.29 9.52 36.6127882455033
","4.139132976531982 -0.14 -0.29 9.57 36.63614095429248
","4.168726921081543 -0.15 -0.27 9.55 36.89330947840653
","4.198988676071167 -0.13 -0.28 9.56 36.82325016693384
","4.228979587554932 -0.14 -0.27 9.51 36.542443818748765
","4.261661767959595 -0.14 -0.29 9.55 36.77654421394613
","4.297702074050903 -0.15 -0.27 9.53 36.75405231373032
","4.332320928573608 -0.15 -0.29 9.53 36.54446001772347
","4.36740779876709 -0.14 -0.27 9.56 36.87196796207537
","4.401552677154541 -0.14 -0.3 9.53 36.73243529527356
","4.435965061187744 -0.15 -0.31 9.540000000000001 36.56926568361389
","4.470394134521484 -0.15 -0.26 9.53 36.45221741887188
","4.5038979053497314 -0.16 -0.29 9.55 36.850651330836975
"
