"0.0329439640045166,","-0.15,","-0.29,","9.55,",32.37978809706076
"0.0705108642578125,","-0.14,","-0.28,","9.55,",32.4637990613801
"0.10684490203857422,","-0.15,","-0.3,","9.53,",32.52811986647118
"0.14176487922668457,","-0.16,","-0.29,","9.540000000000001,",32.66438131140015
"0.17714762687683105,","-0.15,","-0.28,","9.55,",32.6370303391498
"0.2094736099243164,","-0.14,","-0.28,","9.540000000000001,",32.65747246268569
"0.24656438827514648,","-0.16,","-0.28,","9.57,",32.397252333672036
"0.2788271903991699,","-0.14,","-0.27,","9.56,",32.81758637112581
"0.3070087432861328,","None,","None,","None,",32.6058257396286
"0.3377516269683838,","-0.17,","-0.3,","9.56,",32.64968651070266
"0.3695793151855469,","-0.12,","-0.28,","9.49,",32.484610286234236
"0.3997666835784912,","-0.14,","-0.3,","9.55,",32.71760628230449
"0.42991065979003906,","-0.15,","-0.29,","9.540000000000001,",32.55322894812406
"0.4599010944366455,","-0.14,","-0.3,","9.51,",32.57553132675651
"0.4898946285247803,","-0.16,","-0.28,","9.56,",32.64416809241043
"0.52005934715271,","-0.15,","-0.28,","9.55,",32.947194902030546
"0.5502440929412842,","-0.15,","-0.31,","9.540000000000001,",32.57382051396598
"0.580554723739624,","-0.15,","-0.3,","9.56,",32.85385008462425
"0.6121454238891602,","-0.15,","-0.28,","9.540000000000001,",32.69015844187952
"0.6417899131774902,","-0.15,","-0.29,","9.53,",32.712815638316755
"0.6713483333587646,","-0.15,","-0.31,","9.540000000000001,",32.71180115855353
"0.7013809680938721,","-0.15,","-0.3,","9.56,",32.665466209864334
"0.7314896583557129,","-0.14,","-0.28,","9.55,",32.78214817779474
"0.7631001472473145,","-0.14,","-0.28,","9.53,",32.78181083424149
"0.7928125858306885,","-0.15,","-0.3,","9.55,",32.524435151665685
"0.8224408626556396,","-0.14,","-0.29,","9.53,",32.85215796877265
"0.8522346019744873,","-0.14,","-0.27,","9.51,",32.80481073907379
"0.8824880123138428,","-0.13,","-0.29,","9.540000000000001,",32.66411739710757
"0.9136736392974854,","-0.14,","-0.3,","9.540000000000001,",32.94516852403091
"0.9434814453125,","-0.15,","-0.29,","9.55,",32.87448542832895
"0.973247766494751,","-0.15,","-0.29,","9.53,",32.66411739710757
"1.009124517440796,","-0.16,","-0.3,","9.55,",32.87414996328323
"1.0436623096466064,","-0.14,","-0.3,","9.540000000000001,",32.61778077335184
"1.079775333404541,","-0.15,","-0.27,","9.56,",32.73649079744255
"1.1143579483032227,","-0.14,","-0.29,","9.52,",32.82983551081881
"1.1499207019805908,","-0.13,","-0.31,","9.55,",32.83051400739809
"1.1850135326385498,","-0.15,","-0.3,","9.57,",32.59818075522767
"1.217395305633545,","-0.16,","-0.26,","9.52,",32.64450943864071
"1.2527432441711426,","-0.16,","-0.28,","9.56,",32.87786614878732
"1.2849657535552979,","-0.13,","-0.29,","9.540000000000001,",32.83187668852217
"1.314897060394287,","-0.16,","-0.29,","9.540000000000001,",32.55014419221061
"1.3449387550354004,","-0.14,","-0.3,","9.540000000000001,",32.665128295690515
"1.375227451324463,","-0.15,","-0.29,","9.540000000000001,",32.711463946616874
"1.4053027629852295,","-0.14,","-0.29,","9.53,",32.64179194053769
"1.4359264373779297,","-0.15,","-0.29,","9.52,",32.780466199981774
"1.465791940689087,","-0.15,","-0.29,","9.51,",32.73412779481748
"1.4958484172821045,","-0.14,","-0.29,","9.52,",32.70978499683641
"1.5260238647460938,","-0.15,","-0.29,","9.55,",32.82647146776988
"1.5562067031860352,","-0.16,","-0.29,","9.55,",32.73245415561577
"1.5866060256958008,","-0.14,","-0.31,","9.51,",32.9428259834759
"1.6166903972625732,","-0.15,","-0.31,","9.55,",32.80246672297268
"1.647280216217041,","-0.14,","-0.3,","9.56,",32.73245415561577
"1.6770803928375244,","-0.16,","-0.28,","9.55,",32.87247974804107
"1.7071588039398193,","-0.18,","-0.28,","9.53,",32.82513912250304
"1.7374224662780762,","-0.13,","-0.3,","9.53,",32.778796072079
"1.7695786952972412,","-0.17,","-0.28,","9.51,",32.6621083977215
"1.801267385482788,","-0.14,","-0.28,","9.55,",32.63877101541722
"1.833432912826538,","-0.15,","-0.31,","9.540000000000001,",32.70978499683641
"1.8647444248199463,","-0.14,","-0.3,","9.56,",32.91982155993372
"1.8955268859863281,","-0.15,","-0.3,","9.53,",32.615767560478865
"1.9265694618225098,","-0.13,","-0.3,","9.51,",32.77946270125069
"1.9572389125823975,","-0.18,","-0.29,","9.55,",32.75612529293397
"1.9882853031158447,","-0.17,","-0.29,","9.540000000000001,",32.59209640337587
"2.0232009887695312,","-0.15,","-0.29,","9.53,",32.8268057390872
"2.056497573852539,","-0.15,","-0.29,","9.55,",32.803468457320356
"2.0903992652893066,","-0.15,","-0.28,","9.57,",32.8268057390872
"2.1268060207366943,","-0.14,","-0.29,","9.57,",32.66378137889439
"2.1609485149383545,","-0.16,","-0.27,","9.540000000000001,",33.06219008779823
