
"0.034124135971069336 -0.17 -0.29 9.55 40.71529722428567
","0.06445097923278809 -0.16 -0.27 9.51 40.659983281866296
","0.09484362602233887 -0.15 -0.28 9.57 40.81643025281103
","0.12416434288024902 -0.13 -0.28 9.53 40.88128107358739
","0.15467238426208496 -0.15 -0.28 9.53 40.760332789536555
","0.1847071647644043 -0.16 -0.27 9.56 40.8280155095865
","0.21475005149841309 -0.14 -0.28 9.52 40.917912918260555
","0.24461889266967773 -0.15 -0.29 9.540000000000001 41.00936125101417
","0.2746999263763428 -0.15 -0.28 9.53 41.0304448562173
","0.3041195869445801 -0.14 -0.29 9.55 41.00598910799145
","0.3346414566040039 -0.13 -0.26 9.55 40.93523564504277
","0.36470913887023926 -0.16 -0.26 9.52 41.02709935358018
","0.3947420120239258 -0.14 -0.27 9.56 41.14378510047484
","0.42511701583862305 -0.15 -0.26 9.53 41.00191977446595
","0.45459771156311035 -0.14 -0.27 9.55 40.88449784509884
","0.4846477508544922 -0.16 -0.28 9.540000000000001 41.07119960214045
","0.5141184329986572 -0.15 -0.29 9.51 41.0252573420645
","0.5440464019775391 -0.14 -0.26 9.55 40.953778350355776
","0.574127197265625 -0.15 -0.28 9.52 40.92934528535531
","0.6041920185089111 -0.15 -0.28 9.57 40.859330948061285
","0.6341779232025146 -0.14 -0.27 9.56 41.1620042423525
","0.6641566753387451 -0.14 -0.27 9.52 41.1620042423525
","0.6941137313842773 -0.15 -0.27 9.56 40.97529446392532
","0.7242734432220459 -0.15 -0.28 9.52 40.974931525078055
","0.7544832229614258 -0.16 -0.28 9.55 41.021971603299306
","0.7849600315093994 -0.16 -0.28 9.52 40.97529446392532
","0.8150968551635742 -0.15 -0.28 9.52 40.927891667957525
","0.8452057838439941 -0.17 -0.28 9.56 40.99827018350147
","0.8753547668457031 -0.16 -0.28 9.540000000000001 40.99827018350147
","0.9053914546966553 -0.16 -0.28 9.56 40.97529446392532
","0.9360051155090332 -0.15 -0.27 9.57 41.11424115409041
","0.9660563468933105 -0.16 -0.27 9.51 41.0208848947578
","0.9975488185882568 -0.15 -0.28 9.56 40.95086823442314
","1.0276718139648438 -0.15 -0.28 9.53 40.9041907152323
","1.0578365325927734 -0.15 -0.26 9.540000000000001 41.13830320237644
","1.0861194133758545 None None None 40.92752944939083
","1.1164782047271729 -0.15 -0.27 9.540000000000001 41.09126343227555
","1.1465952396392822 -0.17 -0.29 9.52 41.11351996674941
","1.176793098449707 -0.15 -0.28 9.540000000000001 41.11388032325819
","1.2070388793945312 -0.16 -0.25 9.540000000000001 41.0438627099134
","1.237339735031128 -0.14 -0.27 9.56 41.159839204552206
","1.2674705982208252 -0.14 -0.29 9.55 41.18425888275959
","1.2975225448608398 -0.15 -0.26 9.57 41.11351996674941
","1.327815294265747 -0.13 -0.28 9.55 40.92644563958708
","1.3580400943756104 -0.15 -0.29 9.56 40.8801285610568
","1.3888070583343506 -0.16 -0.28 9.55 40.972045089682766
","1.4181606769561768 -0.14 -0.28 9.540000000000001 40.81011213137584
","1.4472508430480957 -0.15 -0.28 9.56 41.020162793986074
","1.4767446517944336 -0.16 -0.27 9.51 40.92572547128588
","1.506359338760376 -0.14 -0.27 9.55 40.92536609861059
","1.5353929996490479 -0.16 -0.27 9.57 41.20651852805022
","1.5639450550079346 -0.14 -0.28 9.52 40.99538466153197
","1.591916799545288 -0.15 -0.27 9.55 41.01836584262584
","1.6204497814178467 -0.15 -0.29 9.540000000000001 41.13470789393218
","1.649796724319458 -0.16 -0.28 9.53 41.111367788449435
","1.6791884899139404 -0.16 -0.28 9.540000000000001 41.0169368192699
","1.7086262702941895 -0.15 -0.3 9.55 41.04134777727336
","1.738246202468872 -0.16 -0.27 9.53 41.08767058340764
","1.7676870822906494 -0.15 -0.27 9.56 40.94870556870733
","1.795677661895752 -0.16 -0.3 9.57 40.877253650008065
","1.8235557079315186 -0.15 -0.27 9.53 41.13399452412255
","1.8519566059112549 -0.17 -0.28 9.540000000000001 41.204371936150245
","1.8810844421386719 -0.16 -0.26 9.52 41.04027706379222
"
"1.9110982418060303 -0.14 -0.29 9.56 40.99395328416448
","1.9405200481414795 -0.15 -0.28 9.5 40.78353717226177
","1.9698688983917236 -0.16 -0.28 9.53 40.82985971111934
","1.997769832611084 -0.13 -0.25 9.57 41.2510528333952
","2.02580189704895 -0.14 -0.29 9.540000000000001 40.9695443603299
","2.053927421569824 -0.15 -0.28 9.55 41.04027706379222
","2.082587480545044 -0.16 -0.27 9.540000000000001 41.03956562640883
","2.1120853424072266 -0.15 -0.28 9.56 41.20330504359857
","2.1432809829711914 -0.14 -0.27 9.53 41.13328305160664
","2.175431966781616 -0.14 -0.28 9.53 41.0869577054877
","2.208301544189453 -0.14 -0.28 9.56 41.040990398464416
","2.2415807247161865 -0.13 -0.26 9.55 40.832008726956474
","2.274289608001709 -0.14 -0.28 9.53 40.832728860056285
","2.3063292503356934 -0.17 -0.27 9.56 40.94978476714915
","2.338689088821411 -0.14 -0.28 9.52 40.716757603999646
","2.3742828369140625 -0.15 -0.28 9.55 41.0205236072176
"
"2.4052608013153076 -0.15 -0.28 9.55 40.92825436083781
","2.4372096061706543 -0.14 -0.28 9.53 41.04422388328029
","2.4701364040374756 -0.13 -0.26 9.55 41.04458553096569
","2.5020804405212402 -0.14 -0.27 9.52 40.997545957104165
","2.5351040363311768 -0.15 -0.27 9.52 40.97420707032922
","2.5674877166748047 -0.16 -0.28 9.540000000000001 41.18461984537565
","2.599425792694092 -0.15 -0.27 9.52 41.09126343227555
"
