


"(0.03125739097595215, -0.15, -0.28, 9.55, 30.43977573733405)
",",","(0.06961536407470703, -0.16, -0.27, 9.52, 30.360414817716567)
",",","(0.10204577445983887, -0.16, -0.28, 9.540000000000001, 30.518325782326887)
",",","(0.13917088508605957, -0.14, -0.28, 9.55, 30.67672588855925)
",",","(0.17588090896606445, -0.14, -0.29, 9.53, 30.930735846324637)
",",","(0.20803022384643555, -0.15, -0.29, 9.53, 30.57716404830606)
",","
"(0.24431061744689941, -0.14, -0.29, 9.540000000000001, 30.97266192065727)
",",","(0.27971982955932617, -0.14, -0.28, 9.59, 30.854935218075475)
",",","(0.31711769104003906, -0.14, -0.29, 9.53, 30.572471326871874)
",",","(0.3544917106628418, -0.12, -0.28, 9.53, 30.87611459801139)
",",","(0.38996100425720215, -0.16, -0.27, 9.56, 30.64103335142811)
",",","(0.42694926261901855, -0.15, -0.29, 9.52, 30.686629325377048)
",",","(0.4590144157409668, -0.14, -0.28, 9.52, 30.6632988886713)
",",","(0.4957923889160156, -0.14, -0.27, 9.53, 30.872569400467267)
",",","(0.5286598205566406, -0.15, -0.28, 9.53, 30.661886181448175)
",",","(0.5662329196929932, -0.14, -0.29, 9.5, 30.614872327792465)
",",","(0.601668119430542, -0.14, -0.28, 9.540000000000001, 30.567858695050546)
",",","(0.6380612850189209, -0.14, -0.29, 9.52, 30.730825485117297)
",",","(0.6736993789672852, -0.14, -0.28, 9.540000000000001, 30.77818973291067)
",",","(0.7097725868225098, -0.15, -0.3, 9.540000000000001, 30.801872301687258)
",","
"(0.7462866306304932, -0.15, -0.27, 9.540000000000001, 30.68416286225199)
",",","(0.7799179553985596, -0.15, -0.3, 9.540000000000001, 30.4975144038184)
",",","(0.8160851001739502, -0.14, -0.3, 9.53, 30.87011596020234)
",",","(0.8496642112731934, -0.16, -0.28, 9.53, 30.870814573552433)
",",","(0.8850576877593994, -0.14, -0.29, 9.55, 30.846784090240366)
",",","(0.9211995601654053, -0.15, -0.29, 9.55, 30.776788785321628)
",",","(0.9584097862243652, -0.14, -0.27, 9.56, 30.683462423688372)
",",","(0.9937050342559814, -0.14, -0.26, 9.55, 30.730125502848452)
",",","(1.0306270122528076, -0.16, -0.28, 9.540000000000001, 30.799423100641274)
",",","(1.067216157913208, -0.15, -0.27, 9.540000000000001, 30.68416286225199)
",",","(1.102804183959961, -0.14, -0.28, 9.540000000000001, 30.75275926019956)
",",","(1.1401524543762207, -0.15, -0.27, 9.58, 30.870465029919814)
",",","(1.1740236282348633, -0.14, -0.31, 9.540000000000001, 30.94080980394124)
",",","(1.21097993850708, -0.15, -0.3, 9.540000000000001, 30.612071627011783)
",","
"(1.2499480247497559, -0.15, -0.29, 9.540000000000001, 30.799423100641274)
",",","(1.2827262878417969, -0.14, -0.28, 9.540000000000001, 30.659432189265257)
",",","(1.3157174587249756, -0.16, -0.29, 9.53, 30.72942741622542)
",",","(1.3494617938995361, -0.15, -0.28, 9.57, 30.751716026845983)
",",","(1.3825552463531494, -0.14, -0.28, 9.55, 30.7047046804528)
",",","(1.4139084815979004, -0.17, -0.29, 9.53, 30.821366436092465)
",",","(1.44529390335083, -0.15, -0.28, 9.56, 30.77331959029591)
",",","(1.4762325286865234, -0.16, -0.27, 9.540000000000001, 30.84366276232467)
",",","(1.5090577602386475, -0.15, -0.27, 9.540000000000001, 31.02964076948143)
",",","(1.5417020320892334, -0.14, -0.31, 9.540000000000001, 30.655279371131254)
",",","(1.5741534233093262, -0.16, -0.28, 9.56, 30.841603203304416)
",",","(1.6059129238128662, -0.14, -0.28, 9.540000000000001, 30.81861186202594)
",",","(1.6373910903930664, -0.15, -0.28, 9.52, 30.818954525076332)
",",","(1.669130563735962, -0.14, -0.26, 9.52, 30.79493619330646)
",",","(1.7014379501342773, -0.15, -0.3, 9.53, 30.98194684387127)
",",","(1.7338824272155762, -0.15, -0.29, 9.540000000000001, 30.81861186202594)
",","
"(1.7651057243347168, -0.14, -0.29, 9.540000000000001, 30.98194684387127)
",",","(1.7969679832458496, -0.13, -0.26, 9.540000000000001, 30.65356917139382)
",",","(1.8276875019073486, -0.14, -0.28, 9.53, 30.888270416649902)
",",","(1.8609466552734375, -0.14, -0.26, 9.53, 31.00459853721419)
",",","(1.8923413753509521, -0.15, -0.27, 9.56, 30.841261602183828)
",",","(1.9249567985534668, -0.14, -0.29, 9.540000000000001, 31.122291419365496)
",",","(1.9572360515594482, -0.16, -0.29, 9.55, 30.934596688600724)
",",","(1.9895212650299072, -0.15, -0.28, 9.540000000000001, 30.58391001800687)
",",","(2.0217175483703613, -0.13, -0.31, 9.52, 30.817927957670577)
",",","(2.0570976734161377, -0.16, -0.31, 9.55, 30.957930587300844)
",",","(2.094083786010742, -0.16, -0.28, 9.55, 30.677927158163143)
",",","(2.1296322345733643, -0.14, -0.3, 9.53, 30.702632483839682)
",",","(2.1667122840881348, -0.15, -0.27, 9.56, 30.866651328493294)
",",","(2.199573516845703, -0.14, -0.28, 9.51, 30.938029462523826)
",",","(2.237374782562256, -0.15, -0.29, 9.52, 30.79699712139796)
",","
