"(0.031496524810791016,","-0.13,","-0.3,","9.53,",31.974737899122385)
"(0.06650543212890625,","-0.14,","-0.29,","9.53,",31.99084751194423)
"(0.10181617736816406,","-0.13,","-0.31,","9.540000000000001,",32.17116743307573)
"(0.13574910163879395,","-0.15,","-0.29,","9.58,",32.026103708116196)
"(0.16688990592956543,","-0.14,","-0.3,","9.56,",32.06918729870694)
"(0.19724273681640625,","-0.15,","-0.29,","9.55,",32.252670473495684)
"(0.22886157035827637,","-0.15,","-0.29,","9.56,",32.29759275718768)
"(0.2588064670562744,","-0.14,","-0.3,","9.51,",32.22516839603289)
"(0.2888331413269043,","-0.15,","-0.29,","9.51,",32.152762924691714)
"(0.3189511299133301,","-0.15,","-0.31,","9.540000000000001,",32.12874553088433)
"(0.34911084175109863,","-0.16,","-0.3,","9.58,",32.3840803829794)
"(0.3797938823699951,","-0.14,","-0.29,","9.52,",32.1727066125)
"(0.4098365306854248,","-0.12,","-0.31,","9.52,",32.17203404871694)
"(0.43954944610595703,","-0.15,","-0.3,","9.540000000000001,",32.358391736507215)
"(0.4692561626434326,","-0.14,","-0.28,","9.53,",32.21770222389696)
"(0.4992330074310303,","-0.16,","-0.3,","9.540000000000001,",32.239706650498285)
"(0.5289928913116455,","-0.14,","-0.28,","9.540000000000001,",32.16969500559872)
"(0.5589818954467773,","-0.13,","-0.3,","9.52,",32.31038331172032)
"(0.5888574123382568,","-0.15,","-0.29,","9.57,",32.543095734069716)
"(0.6197574138641357,","-0.13,","-0.31,","9.53,",32.449413447849125)
"(0.6502690315246582,","-0.14,","-0.28,","9.57,",32.47308210577175)
"(0.680570125579834,","-0.14,","-0.29,","9.52,",32.28571844372617)
"(0.7110247611999512,","-0.15,","-0.3,","9.5,",32.47308210577175)
"(0.742534875869751,","-0.16,","-0.3,","9.540000000000001,",32.285387709203704)
"(0.7733485698699951,","-0.14,","-0.27,","9.540000000000001,",32.19137621445747)
"(0.8037512302398682,","-0.14,","-0.29,","9.52,",32.37906933547209)
"(0.8372621536254883,","-0.16,","-0.3,","9.540000000000001,",32.495100153824026)
"(0.8723719120025635,","-0.15,","-0.28,","9.53,",32.35639374243418)
"(0.9087648391723633,","-0.15,","-0.3,","9.5,",32.31005079541544)
"(0.9432275295257568,","-0.14,","-0.29,","9.55,",32.030340386538555)
"(0.9797675609588623,","-0.14,","-0.31,","9.53,",32.21803661863557)
"(1.0119380950927734,","-0.14,","-0.29,","9.53,",32.24137331382414)
"(1.047149896621704,","-0.15,","-0.27,","9.540000000000001,",32.1940314305449)
"(1.0825488567352295,","-0.12,","-0.29,","9.52,",32.31171811671109)
"(1.1178314685821533,","-0.14,","-0.28,","9.5,",32.26471005986188)
"(1.1531224250793457,","-0.17,","-0.28,","9.56,",32.17203404871694)
"(1.188624382019043,","-0.16,","-0.28,","9.52,",32.24137331382414)
"(1.224147081375122,","-0.15,","-0.29,","9.540000000000001,",32.335054901182104)
"(1.2591726779937744,","-0.14,","-0.29,","9.53,",32.125025671616775)
"(1.29417085647583,","-0.15,","-0.29,","9.52,",32.288381383094176)
"(1.329512357711792,","-0.14,","-0.28,","9.53,",32.28804685675373)
"(1.3648953437805176,","-0.14,","-0.29,","9.53,",32.312724197224796)
"(1.4006712436676025,","-0.14,","-0.29,","9.540000000000001,",32.47641586906134)
"(1.4353477954864502,","-0.14,","-0.29,","9.52,",32.26504470032645)
"(1.4708528518676758,","-0.14,","-0.28,","9.52,",32.10135390548454)
"(1.5059823989868164,","-0.16,","-0.3,","9.55,",32.31238836307119)
"(1.539959192276001,","-0.14,","-0.3,","9.55,",32.147692101078576)
"(1.5752432346343994,","-0.15,","-0.31,","9.540000000000001,",32.008008650274526)
"(1.6113169193267822,","-0.14,","-0.27,","9.540000000000001,",32.498080317185305)
"(1.6463377475738525,","-0.15,","-0.28,","9.55,",32.28804685675373)
"(1.6815195083618164,","-0.14,","-0.28,","9.53,",32.31205300290652)
"(1.7165141105651855,","-0.14,","-0.29,","9.52,",32.10068444873541)
"(1.7500712871551514,","-0.14,","-0.3,","9.52,",32.171698477781746)
"(1.7861440181732178,","-0.14,","-0.28,","9.540000000000001,",32.45107260542381)
"(1.821922779083252,","-0.15,","-0.27,","9.55,",32.335054901182104)
"(1.8550386428833008,","-0.15,","-0.29,","9.540000000000001,",32.28804685675373)
"(1.8864712715148926,","-0.16,","-0.28,","9.56,",32.40439812228368)
"(1.9168732166290283,","-0.15,","-0.3,","9.52,",32.520752274455205)
"(1.9472081661224365,","-0.14,","-0.29,","9.56,",32.1693627524729)
"(1.9774649143218994,","-0.13,","-0.28,","9.51,",32.42574508648686)
"(2.0085887908935547,","-0.16,","-0.29,","9.55,",32.28505744866033)
"(2.038984537124634,","-0.15,","-0.29,","9.58,",32.3307459964066)
"(2.0691113471984863,","-0.15,","-0.29,","9.53,",32.35310167073986)
"(2.0992860794067383,","-0.17,","-0.3,","9.52,",32.18973210855977)
"(2.1294639110565186,","-0.15,","-0.3,","9.55,",32.16639380311438)
"(2.159640073776245,","-0.13,","-0.28,","9.52,",32.307079477720826)
"(2.1899914741516113,","-0.15,","-0.29,","9.540000000000001,",32.30675170120687)
"(2.220639705657959,","-0.15,","-0.29,","9.53,",32.235428781013276)
"(2.254023313522339,","-0.16,","-0.29,","9.540000000000001,",32.28275889622211)
"(2.2848262786865234,","-0.14,","-0.29,","9.540000000000001,",32.21307046485926)
"(2.316265106201172,","-0.14,","-0.3,","9.55,",32.283413255605254)
"(2.3473148345947266,","-0.13,","-0.29,","9.56,",32.35310167073986)
"(2.3786706924438477,","-0.13,","-0.26,","9.540000000000001,",32.564131475584745)
"(2.4105005264282227,","-0.16,","-0.29,","9.540000000000001,",32.35342874499698)
"(2.441192388534546,","-0.13,","-0.3,","9.57,",32.54046558970243)
"(2.471492290496826,","-0.13,","-0.3,","9.51,",32.44645682521823)
"(2.501612901687622,","-0.15,","-0.29,","9.52,",32.189077784013996)
"(2.5323357582092285,","-0.16,","-0.29,","9.55,",32.258767581457256)
"(2.5680606365203857,","-0.13,","-0.3,","9.540000000000001,",32.235428781013276)
"(2.6027753353118896,","-0.16,","-0.28,","9.6,",32.14338365003498)
"(2.638000249862671,","-0.13,","-0.29,","9.53,",32.21372645702398)
"(2.672936201095581,","-0.16,","-0.28,","9.55,",32.495100153824026)
"(2.7082388401031494,","-0.15,","-0.29,","9.55,",32.332393787883554)
"(2.742994546890259,","-0.16,","-0.28,","9.56,",32.26171962459735)
"(2.776684522628784,","-0.14,","-0.29,","9.53,",32.169030973321256)
"(2.8124992847442627,","-0.15,","-0.29,","9.56,",32.28571844372617)
"(2.846388101577759,","-0.14,","-0.31,","9.58,",32.40373258077875)
